hotel_name;review_score;review_score_text;review_score_title;hotel_price
Ascott Sudirman Jakarta;8.7;1,259 reviews;Fabulous;Rp 1,062,187
Ascott Jakarta;8.6;1,811 reviews;Fabulous;Rp 934,725
Four Seasons Hotel Jakarta;9.2;409 reviews;Superb;Rp 2,763,882
Shangri-La Hotel Jakarta;8.9;685 reviews;Fabulous;Rp 1,667,597
Ascott Kuningan Jakarta;8.6;865 reviews;Fabulous;Rp 1,274,625
Hotel Indonesia Kempinski Jakarta;9.0;505 reviews;Superb;Rp 1,815,000
Sheraton Grand Jakarta Gandaria City Hotel;8.9;271 reviews;Fabulous;Rp 1,742,400
The Westin Jakarta;9.0;391 reviews;Superb;Rp 1,802,900
DoubleTree by Hilton Jakarta - Diponegoro;8.6;1,112 reviews;Fabulous;Rp 898,425
Grand Hyatt Jakarta;8.7;308 reviews;Fabulous;Rp 1,682,256
Somerset Berlian Jakarta;8.2;1,056 reviews;Very good;Rp 1,019,700
The Ritz-Carlton Jakarta Mega Kuningan;9.0;677 reviews;Superb;Rp 1,603,250
Mandarin Oriental Jakarta;9.1;222 reviews;Superb;Rp 1,637,856
InterContinental Hotels Jakarta Pondok Indah;9.1;165 reviews;Superb;Rp 1,873,475
Fairmont Jakarta;9.0;288 reviews;Superb;Rp 3,206,500
Citadines Rasuna Jakarta;8.5;704 reviews;Very good;Rp 764,775
Ashley Wahid Hasyim Jakarta;8.4;2,030 reviews;Very good;Rp 444,901
Juno Jatinegara Jakarta;8.1;1,164 reviews;Very good;Rp 290,008
Stanley Wahid Hasyim;8.6;574 reviews;Fabulous;Rp 389,911
JW Marriott Hotel Jakarta;8.5;283 reviews;Very good;Rp 1,361,250
The Residences of The Ritz-Carlton Jakarta Pacific Place;8.5;30 reviews;Very good;Rp 9,955,000
Swissôtel Jakarta PIK Avenue;8.9;210 reviews;Fabulous;Rp 889,199
Swiss-Belhotel Pondok Indah;7.9;333 reviews;Good;Rp 595,000
Juno Tanah Abang Jakarta;8.2;1,742 reviews;Very good;Rp 339,151
Hotel Mulia Senayan - Jakarta;8.8;52 reviews;Fabulous;Rp 1,707,010
Pullman Jakarta Indonesia;8.4;667 reviews;Very good;Rp 1,452,000
Swiss-Belhotel Pondok Indah;7.9;333 reviews;Good;Rp 595,000
Ashley Sabang Jakarta;8.5;1,085 reviews;Very good;Rp 416,503
Fraser Place Setiabudi Jakarta;8.9;328 reviews;Fabulous;Rp 1,090,264
Somerset Grand Citra Jakarta;7.7;433 reviews;Good;Rp 934,725
The Ritz-Carlton Hotel Jakarta Pacific Place;9.3;108 reviews;Superb;Rp 3,212,550
Swiss-Belinn Wahid Hasyim;8.3;34 reviews;Very good;Rp 366,520
Lumire Hotel & Convention Centre;7.6;206 reviews;Good;Rp 484,000
Hotel Ciputra Jakarta;7.9;1,252 reviews;Good;Rp 415,000
Park 5 Cilandak;8.2;489 reviews;Very good;Rp 467,900
Hotel Santika Premiere Slipi Jakarta;8.2;277 reviews;Very good;Rp 527,560
Four Points by Sheraton Jakarta Thamrin;8.3;506 reviews;Very good;Rp 738,100
Grand G7 Hotel;8.1;541 reviews;Very good;Rp 370,000
Raffles Jakarta;9.4;172 reviews;Superb;Rp 4,855,125
Morrissey Hotel Residences;8.6;475 reviews;Fabulous;Rp 605,440
