hotel_name,hotel_address,type_room,facility,type_bed,room_policy,category,price,remarks,review_score,review_score_title,reviews
Ascott Sudirman Jakarta,"South Jakarta, Jakarta   Show on map",Two-Bedroom Apartment,Entire apartment ­ •­ 2 bedrooms •­ 1 living room •­ 1 bathroom •­ 112m²,2 double beds,FREE cancellation,"1 night, 2 adults, 2 children","Rp 2,209,350",Includes taxes and charges,8.7,Fabulous,"1,265 reviews"
Ascott Jakarta,"Central Jakarta, Jakarta   Show on map",Executive Two-Bedroom Apartment,Entire apartment ­ •­ 2 bedrooms •­ 2 bathrooms •­ 125m²,"3 beds (2 singles, 1 extra-large double)",FREE cancellation,"1 night, 2 adults, 2 children","Rp 1,529,550",Includes taxes and charges,8.6,Fabulous,"1,821 reviews"
Ascott Kuningan Jakarta,"South Jakarta, Jakarta   Show on map",Executive Two-Bedroom Apartment,Entire apartment ­ •­ 1 bedroom •­ 2 bathrooms •­ 109m²,"3 beds (2 singles, 1 extra-large double)",FREE cancellation,"1 night, 2 adults, 2 children","Rp 1,911,937",Includes taxes and charges,8.6,Fabulous,867 reviews
Somerset Berlian Jakarta,"South Jakarta, Jakarta   Show on map",Three Bedroom Deluxe,Entire apartment ­ •­ 3 bedrooms •­ 2 bathrooms •­ 130m²,"3 beds (1 single, 1 extra-large double, 1 large double)",FREE cancellation,"1 night, 2 adults, 2 children","Rp 1,189,650",Includes taxes and charges,8.2,Very good,"1,058 reviews"
Somerset Grand Citra Jakarta,"South Jakarta, Jakarta   Show on map",Three-Bedroom Classic,Entire apartment ­ •­ 3 bedrooms •­ 1 living room •­ 1 bathroom •­ 157m²,"3 beds (2 singles, 1 extra-large double)",FREE cancellation,"1 night, 2 adults, 2 children","Rp 1,741,987",Includes taxes and charges,7.7,Good,434 reviews
Fraser Place Setiabudi Jakarta,"South Jakarta, Jakarta   Show on map",Two-Bedroom Premier Twin,Entire apartment ­ •­ 2 bedrooms •­ 1 living room •­ 2 bathrooms •­ 108m²,"3 beds (2 singles, 1 double)",FREE cancellation,"1 night, 2 adults, 2 children","Rp 2,753,190",Includes taxes and charges,8.9,Fabulous,330 reviews
Aryaduta Suite Semanggi,"South Jakarta, Jakarta   Show on map",Three-Bedroom Suite,Entire suite ­ •­ 3 bedrooms •­ 1 bathroom •­ 135m²,"3 beds (2 singles, 1 large double)",FREE cancellation - no prepayment needed,"1 night, 2 adults, 2 children","Rp 1,333,333",Includes taxes and charges,7.6,Good,562 reviews
Harris Suites Puri Mansion,"West Jakarta, Jakarta   Show on map",Two-Bedroom Suite,Entire suite ­ •­ 2 bedrooms •­ 1 living room •­ 135m²,"3 beds (2 singles, 1 large double)",FREE cancellation,"1 night, 2 adults, 2 children","Rp 1,552,600",Includes taxes and charges,8.6,Fabulous,22 reviews
"The Mayflower, Jakarta-Marriott Executive Apartments","South Jakarta, Jakarta   Show on map",Two Bedroom Executive - City View,Entire apartment ­ •­ 1 bedroom •­ 1 bathroom •­ 135m²,"2 beds (1 extra-large double, 1 large double)",FREE cancellation - no prepayment needed,"1 night, 2 adults, 2 children","Rp 2,761,000",Includes taxes and charges,8.7,Fabulous,197 reviews
Wyndham Casablanca Jakarta,"South Jakarta, Jakarta   Show on map",Two-Bedroom Suite,Entire suite ­ •­ 2 bedrooms •­ 135m²,"2 beds (1 extra-large double, 1 large double)",FREE cancellation - no prepayment needed,"1 night, 2 adults, 2 children","Rp 2,420,000",Includes taxes and charges,8.4,Very good,532 reviews
