hotel_name,hotel_desc,address,review_score,review_title,reviews
Yogyakarta Marriott Hotel,"Boasting a fitness centre, Yogyakarta Marriott Hotel is set in Yogyakarta and is 3.5 km from Tugu Monument. 5 km from Malioboro Street, the property is also 5 km away from Malioboro Mall.","Yogyakarta


Show on map",9.1,Superb,468 reviews
Novotel Suites Yogyakarta Malioboro,"Novotel Suites Yogyakarta Malioboro features a restaurant, outdoor swimming pool, a fitness centre and bar in Yogyakarta. This 4-star hotel offers a 24-hour front desk and room service.","Danurejan, Yogyakarta


Show on map",8.5,Very good,142 reviews
Melia Purosani Yogyakarta,"Situated beside Malioboro Shopping Centre in the heart of Yogyakarta, the 5-star Melia Hotel features a freeform outdoor pool and a spa. Spacious rooms provide cable TV channels.","Gondomanan, Yogyakarta


Show on map",8.7,Fabulous,791 reviews
Sheraton Mustika Yogyakarta Resort and Spa,"Sheraton Mustika is just a 5-minute drive from Adisucipto International Airport. It boasts dining options, indoor and outdoor pools, tennis courts, a spa and a gym.","Yogyakarta


Show on map",8.3,Very good,395 reviews
Amaris Hotel Malioboro - Jogja,"Offering an outdoor pool and sun terrace, Amaris Hotel Malioboro - Jogja is situated in Yogyakarta, 300 metres from Malioboro Mall.","Gondomanan, Yogyakarta


Show on map",7.8,Good,332 reviews
D'Senopati Malioboro Grand Hotel,"Boasting classic design and spacious rooms, D'Senopati Malioboro Grand Hotel is set in the Gondomanan district in Yogyakarta, 200 metres from Scientific Park.","Gondomanan, Yogyakarta


Show on map",8.0,Very good,547 reviews
Ibis Malioboro,"Located in Yogyakarta Central Business District, Ibis is directly connected to Malioboro Mall. It offers free parking and an outdoor swimming pool. A spa and fitness centre are also available.","Danurejan, Yogyakarta


Show on map",8.0,Very good,384 reviews
Artotel Yogyakarta,"Well set in the Catur Tunggal district of Yogyakarta, Artotel Yogyakarta is located 6 km from Tugu Monument, 7 km from Malioboro Mall and 8 km from Yogyakarta Presidential Palace.","Catur Tunggal, Yogyakarta


Show on map",8.5,Very good,279 reviews
eL Hotel Royale Yogyakarta Malioboro,"Set in Yogyakarta, 1.7 km from Malioboro Mall, eL Hotel Royale Yogyakarta Malioboro offers accommodation with a restaurant, free private parking and a shared lounge.","Gedongtengen, Yogyakarta


Show on map",8.5,Very good,91 reviews
Swiss-Belboutique Yogyakarta,"Swiss-Belboutique Yogyakarta is situated in the heart of the city, only 100 metres from Tugu Monument. This elegant hotel boasts spacious rooms an a rooftop pool.","Gondokusuman, Yogyakarta


Show on map",9.0,Superb,299 reviews
Horison Ultima Riss Malioboro Yogyakarta,"Just 5 minutes’ walk from Tugu Train Station and Malioboro Street, Horison Ultima Riss Malioboro Yogyakarta offers an outdoor swimming pool and a spa and wellness centre.","Gedongtengen, Yogyakarta


Show on map",8.3,Very good,46 reviews
Hyatt Regency Yogyakarta,"Set in 22 hectares of landscaped tropical gardens, Hyatt Regency Yogyakarta boasts a range of facilities including a golf course, multi-level swimming pool, as well as spa and wellness centre.","Yogyakarta


Show on map",9.0,Superb,"1,000 reviews"
Yellow Star Ambarukmo Hotel,"Offering a rooftop terrace with views of the city, Yellow Star Ambarukmo Hotel is located in Yogyakarta, 2.4 km from Tugu Monument. Free WiFi can accessed throughout the premises.","Catur Tunggal, Yogyakarta


Show on map",8.0,Very good,343 reviews
Grand Ambarrukmo Yogyakarta,"Boasting an outdoor pool, Grand Ambarrukmo Yogyakarta in Yogyakarta is located 2.8 km from Tugu Monument and 4 km from Malioboro Street.","Catur Tunggal, Yogyakarta


Show on map",9.2,Superb,332 reviews
Greenhost Boutique Hotel Prawirotaman,"A chic accommodation showcasing natural elements and local culture, just a 15-minute drive from the iconic Malioboro Street, eco-friendly Greenhost Boutique Hotel Prawirotaman offers a modern stay...","Mergangsan, Yogyakarta


Show on map",8.9,Fabulous,"1,198 reviews"
Hotel Dafam Fortuna Malioboro,"A 3-minute stroll from the lively Malioboro Street, Hotel Dafam Fortuna Malioboro offers a modern stay with an outdoor pool, spa and a restaurant. Soothing in-room massages can be arranged.","Gedongtengen, Yogyakarta


Show on map",8.4,Very good,411 reviews
The Phoenix Hotel Yogyakarta - MGallery Collection,"Located in the heart of Yogyakarta, The Phoenix Hotel Yogyakarta - MGallery Collection is luxury accommodation in a colonial landmark from 1918.","Jetis, Yogyakarta


Show on map",8.7,Fabulous,822 reviews
PORTA by The Ambarrukmo,"Located in Yogyakarta, 1.1 km from Tugu Monument, PORTA by The Ambarrukmo provides accommodation with a restaurant, free private parking, an outdoor swimming pool and a bar.","Catur Tunggal, Yogyakarta


Show on map",8.9,Fabulous,27 reviews
ibis Styles Yogyakarta,"Just a 2-minute walk from the popular shopping street of Malioboro, ibis Styles Yogyakarta provides modern air-conditioned rooms and buffet breakfast in central Yogyakarta.","Gedongtengen, Yogyakarta


Show on map",8.0,Very good,563 reviews
GAIA Cosmo Hotel,"Strategically located in Yogyakarta, GAIA Cosmo Hotel offers accommodation with an outdoor pool and sun loungers. The property provides secured parking and free WiFi access throughout the premises.","Umbulharjo, Yogyakarta


Show on map",8.8,Fabulous,279 reviews
Hotel Mawar Asri,Hotel Mawar Asri is situated a 5-minute walk from Sultan Palace and a 10-minute walk from shopping options at the popular Malioboro Street.,"Kraton, Yogyakarta


Show on map",7.5,Good,221 reviews
Novotel Yogyakarta,"Featuring an outdoor pool and a gym, Novotel Yogyakarta offers comfortable air-conditioned rooms in the heart of the city. It provides free WiFi access, free area shuttle service and free parking.","Gondokusuman, Yogyakarta


Show on map",8.1,Very good,429 reviews
The Jayakarta Yogyakarta Hotel & Spa,"The Jayakarta Yogyakarta is located in Jalan Solo-Yogyakarta, just 5 minutes by car from the Adi Sucipto Airport and 15 minutes from Yogyakarta city centre. There is free Wi-Fi.","Yogyakarta


Show on map",7.7,Good,144 reviews
Yellow Star Gejayan Hotel,"Situated in the Catur Tunggal district in Yogyakarta, 2.1 km from Tugu Monument, Yellow Star Gejayan Hotel features free WiFi access and free private parking.","Catur Tunggal, Yogyakarta


Show on map",8.0,Very good,215 reviews
Grhatama Guest House,"Set in Yogyakarta, within 4.3 km of Tugu Monument and 6 km of Malioboro Mall, Grhatama Guest House provides accommodation with free WiFi.","Catur Tunggal, Yogyakarta


Show on map",8.5,Very good,66 reviews
Abhayagiri - SWH Resort,"Featuring free WiFi throughout the property, Abhayagiri - SWH Resort is located in Yogyakarta, 14 km from Tugu Monument.","Yogyakarta


Show on map",8.8,Fabulous,158 reviews
THE 1O1 Yogyakarta Tugu,"Strategically located a 5-minute stroll from Malioboro Street, THE 1O1 Yogyakarta Tugu offers rooms with modern comforts and free WiFi access.","Jetis, Yogyakarta


Show on map",8.5,Very good,260 reviews
