hotel_name;review_score;id
Yogyakarta Marriott Hotel;9.1;85123A
Novotel Suites Yogyakarta Malioboro;8.5;71053
Melia Purosani Yogyakarta;8.7;84406B
Sheraton Mustika Yogyakarta Resort and Spa;8.3;84029G
Amaris Hotel Malioboro - Jogja;7.8;84029E
D'Senopati Malioboro Grand Hotel;8.0;22752
Ibis Malioboro;8.0;21730
Artotel Yogyakarta;8.5;22633
eL Hotel Royale Yogyakarta Malioboro;8.5;22632
Swiss-Belboutique Yogyakarta;9.0;84879
Horison Ultima Riss Malioboro Yogyakarta;8.3;22745
Hyatt Regency Yogyakarta;9.0;22748
Yellow Star Ambarukmo Hotel;8.0;22749
Grand Ambarrukmo Yogyakarta;9.2;22310
Greenhost Boutique Hotel Prawirotaman;8.9;84969
Hotel Dafam Fortuna Malioboro;8.4;22623
The Phoenix Hotel Yogyakarta - MGallery Collection;8.7;22622
PORTA by The Ambarrukmo;8.9;21754
ibis Styles Yogyakarta;8.0;21755
GAIA Cosmo Hotel;8.8;21777
Hotel Mawar Asri;7.5;48187
Novotel Yogyakarta;8.1;22960
The Jayakarta Yogyakarta Hotel & Spa;7.7;22913
Yellow Star Gejayan Hotel;8.0;22912
Grhatama Guest House;8.5;22914
Abhayagiri - SWH Resort;8.8;21756
THE 1O1 Yogyakarta Tugu;8.5;22728
The Jayakarta Yogyakarta Hotel & Spa;7.7;22727
Jambuluwuk Maliboro Hotel Yogyakarta;8.1;22726
MMUGM Hotel;8.1;21724
D'Kaliurang Resort & Convention Yogyakarta;8.2;21883
Adhisthana Hotel Yogyakarta;8.7;10002
Royal Ambarrukmo Yogyakarta;9.1;21791
Hotel Citradream Tugu Yogyakarta;7.7;21035
Merapi Merbabu Hotels & Resorts;7.4;22326
YATS Colony;8.5;22629
Grand Mercure Yogyakarta Adi Sucipto;8.3;22659
Grage Ramayana Hotel;7.5;22631
GRAND ASTON Hotel & Convention Center Yogyakarta;9.0;22661
